SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,
MAHAVIRSPG,EQ,87,87,82.5,83.35,83,82.2,6992,583117.1,25-OCT-2003,
MAHINDUGIN,EQ,14.5,14.85,14.05,14.3,14.35,14.3,9775,139973.75,25-OCT-2003,
MAHSCOOTER,EQ,91.1,91.1,91.1,91.1,91.1,91,413,37624.3,25-OCT-2003,
MAHSEAMLES,EQ,198,198,189,192.2,192.5,188.55,9923,1901468.1,25-OCT-2003,
MALWACOTT,EQ,29.9,30,28.55,29.65,30,30,250,7415,25-OCT-2003,
MANALIPET,BE,4,4,3.85,3.9,3.95,4,4300,16990,25-OCT-2003,
MANGLMCEM,BE,12,12,12,12,12,12,1000,12000,25-OCT-2003,
MARALOVER,EQ,13.25,14.05,13.25,13.85,14.05,13.45,1349,18663.55,25-OCT-2003,
MARICOIND,EQ,203.95,203.95,196.75,200.6,201,194.3,2662,534676.9,25-OCT-2003,
MARUTI,EQ,294.9,297.7,291.5,293.75,293.6,285,1888755,556256201.15,25-OCT-2003,
MASTEK,EQ,220,221.2,201.15,217.5,217.95,217.45,123436,26888540.7,25-OCT-2003,
MAX,EQ,98.6,99,94.5,95.1,95,93.45,12378,1182927.35,25-OCT-2003,
MCDOWELL-N,EQ,47.25,47.95,46,47,46.95,46.55,35254,1659109.8,25-OCT-2003,
MEDIAVIDEO,BE,5.9,6.15,5.9,6.05,6.05,6.45,1500,9115,25-OCT-2003,
MELSTAR,EQ,14.15,14.5,13.85,14.2,14.4,13.9,3350,47575,25-OCT-2003,
MICO,EQ,9300,9300,9200,9211.7,9200,9100,66,609599.25,25-OCT-2003,
MID-DAY,EQ,24.9,25.5,24.3,24.65,24.75,23.55,2700,67277.5,25-OCT-2003,
MIRCELECTR,EQ,231,231,224,226.25,225.25,223.2,4367,991952.35,25-OCT-2003,
MIRZATAN,EQ,36.45,36.5,36.2,36.35,36.4,35.75,2350,85537.5,25-OCT-2003,
MONSANTO,EQ,964,964,940,941.8,940,937.85,1956,1844488.1,25-OCT-2003,
MOREPENLAB,EQ,10.05,10.1,10,10.1,10.1,9.6,266375,2687671.1,25-OCT-2003,
MORGANSTAN,EQ,13.25,13.25,13.1,13.15,13.15,13.1,317017,4170815.3,25-OCT-2003,
MOSERBAER,EQ,430,437.9,420.25,428.05,430,415.8,179062,76381700.7,25-OCT-2003,
MOTHERSUMI,EQ,189.95,190,189.25,190,190,185.15,10387,1973496.2,25-OCT-2003,
MRF,EQ,1664,1664,1625,1634.75,1659,1623.85,359,586614.45,25-OCT-2003,
MRO-TEK,EQ,13.5,13.9,13.5,13.8,13.8,13.65,4180,57658,25-OCT-2003,
MRPL,EQ,34.65,36.1,34.65,35.85,36,34.35,536661,19081479,25-OCT-2003,
MTNL,EQ,114,115.45,112.95,114.95,115,112,672392,76930872.15,25-OCT-2003,
MUKAND,EQ,22,22,20.5,20.75,20.5,20.45,6200,129925,25-OCT-2003,
MUKTAARTS,EQ,60.9,61.15,59.7,60.05,59.7,58.15,24133,1455949.4,25-OCT-2003,
MUNJALAUTO,EQ,67,69.95,67,69,69.1,66.4,6700,461160,25-OCT-2003,
MUNJALSHOW,EQ,202,207.75,202,205.6,205.6,204.7,817,166568.05,25-OCT-2003,
MYSORECEM,EQ,8.2,9,8.2,8.8,9,8.7,7415,65248.25,25-OCT-2003,
NAGARCONST,EQ,91.25,92.95,91,92.55,92.5,87.8,12910,1188374.5,25-OCT-2003,
NAGARFERT,EQ,6.25,6.5,6.1,6.1,6.2,6,90700,561006.25,25-OCT-2003,
NAHAREXP,EQ,23,24,23,23.75,23.9,23.4,4141,98422.7,25-OCT-2003,
NAHARINTL,BE,6.5,6.5,6.5,6.5,6.5,5.95,1,6.5,25-OCT-2003,
NAHARSPG,EQ,110,110,101,102.4,102.75,100.5,9126,933392.75,25-OCT-2003,
NARMDCHEMA,EQ,18,18.7,18,18,18.2,17.95,49296,887858.25,25-OCT-2003,
NATCOPHARM,EQ,97,97.9,95.5,96.8,97.05,95.05,26718,2579204.6,25-OCT-2003,
NATHSEEDS,EQ,7.7,7.9,7.5,7.8,7.8,7.35,8197,63417.55,25-OCT-2003,
NATIONALUM,EQ,139.75,139.8,135.85,136.7,136.45,137.25,356410,48759569.4,25-OCT-2003,
NATNLSTEEL,EQ,11.55,12.2,11.55,12,12.05,11.75,17810,211540,25-OCT-2003,
NAVBARFERO,EQ,118.9,120,112.1,118.55,120,114.6,14677,1701807.15,25-OCT-2003,
NAVNETPUBL,EQ,147,149.95,146.5,147.35,149.95,147.7,1411,207596.4,25-OCT-2003,
NELCO,EQ,38,39.8,38,39.1,38.85,36.95,80790,3148885.35,25-OCT-2003,
NEOCURTHER,BE,0.7,0.7,0.7,0.7,0.7,0.7,3000,2100,25-OCT-2003,
NEPCMICON,BE,4.3,4.45,3.8,4,4,3.7,17727,71065.85,25-OCT-2003,
NEYVELILIG,EQ,51,52.5,50.6,52.05,52.4,50.15,623603,32252361.85,25-OCT-2003,
NICOLASPIR,EQ,488,497,486,491.15,493,483.7,21833,10730396.35,25-OCT-2003,
NIFTYBEES,EQ,154.5,154.5,151,152.68,152.65,150.05,3672,559504.5,25-OCT-2003,
NIIT,EQ,158.85,169,155,156.7,156.3,154.2,1021830,160580483.45,25-OCT-2003,
NIPPONDENR,EQ,13.9,13.9,13.2,13.35,13.4,13.2,591008,7904612.05,25-OCT-2003,
NIRMA,EQ,349.9,355.9,340,354.05,354.25,337.1,29465,10353134.4,25-OCT-2003,
NOCIL,EQ,14.95,14.95,13.5,13.75,13.75,13.5,72425,993818.9,25-OCT-2003,
NOVAPETRO,EQ,40.5,40.5,38.65,39.15,38.8,39.3,1003,39543.2,25-OCT-2003,
NRBBEARING,EQ,108,108,108,108,108,103.1,5,540,25-OCT-2003,
NRC,EQ,20.25,20.6,19.25,19.9,20.25,19,25534,510545.3,25-OCT-2003,
NUCHEM,BE,2.2,2.2,2.2,2.2,2.2,1.8,100,220,25-OCT-2003,
NUCLEUS,EQ,80.7,81.6,79.9,81.2,80.55,81.4,4050,326890.55,25-OCT-2003,
OENCONNECT,EQ,130.95,130.95,129,129.9,130,129.15,3596,467452.15,25-OCT-2003,
OILCOUNTUB,EQ,10.1,11,10.1,10.9,11,10.4,3021,32368.65,25-OCT-2003,
OMAXAUTO,EQ,88.9,88.95,86,87.15,88,85.3,21448,1871756.45,25-OCT-2003,
ONGC,EQ,596,606,588,602.15,605.4,583.1,317759,190243900.75,25-OCT-2003,
ONWARDTEC,EQ,20.85,21.15,20.8,21,21,20.75,3956,82858.25,25-OCT-2003,
OPTOCIRCUI,EQ,72.4,73,71.5,72.15,72.5,70.15,4511,327952,25-OCT-2003,
ORCHIDCHEM,EQ,180,180,173.4,178.65,179.5,176.4,106714,18887972.55,25-OCT-2003,
ORIENTBANK,EQ,236.9,239.9,233.05,234.4,234.75,232.7,760933,178572048.95,25-OCT-2003,
ORIENTHOT,EQ,103.5,103.5,101.4,101.55,102,99,505,51452,25-OCT-2003,
ORIENTINFO,EQ,26,33,26,32.5,32.45,31.7,9459,307385.95,25-OCT-2003,
ORIENTPPR,EQ,26,26,26,26,26,23.65,100,2600,25-OCT-2003,
PADMALAYAT,EQ,85.15,85.15,82.6,84,84.1,81.05,12770,1066689.9,25-OCT-2003,
PANACEABIO,EQ,42,44.5,42,43.7,43.5,43,3275,142968,25-OCT-2003,
PANTALOONR,EQ,240,245.45,240,245.45,245.45,233.75,7878,1929744.4,25-OCT-2003,
PAPERPROD,EQ,142,142,140.15,141.2,140.5,137,161,22774.25,25-OCT-2003,
PAREKHPLAT,EQ,6.95,6.95,6.5,6.85,6.9,6.55,2600,17555,25-OCT-2003,
PATSPINLTD,EQ,15.4,15.4,13.25,13.55,13.3,13.35,4150,56670.1,25-OCT-2003,
PEACOCKIND,BE,2.75,2.75,2.75,2.75,2.75,2.4,1,2.75,25-OCT-2003,
PENTACOMMU,EQ,3.8,4,3.6,3.75,3.85,3.6,461845,1771673.6,25-OCT-2003,
PENTSFWARE,BE,7.45,7.5,7.1,7.4,7.5,6.95,315327,2316783.85,25-OCT-2003,
PETRONENGG,EQ,38.45,41.45,38,39.95,39.25,37.7,21576,860668.6,25-OCT-2003,
PFIZER,EQ,405,406,399,403.8,404.8,396.9,14737,5944427,25-OCT-2003,
PHARMACIA,EQ,96,117,96,111.3,117,115.3,1344,138870.55,25-OCT-2003,
PHILIPCARB,EQ,65.4,66.85,64.05,65.3,66.85,63.8,6354,412706.85,25-OCT-2003,
PIDILITIND,EQ,278.05,288,278.05,283.6,283.5,276.45,595,169205.75,25-OCT-2003,
PNB,EQ,195.9,195.9,190.15,192.2,192.1,191.4,1693075,325508621.15,25-OCT-2003,
PNBGILTS,EQ,32.85,35.2,32.6,32.95,33,32,113827,3754820,25-OCT-2003,
PNC,EQ,29,29,27.25,27.8,27.25,27.05,4792,134034.6,25-OCT-2003,
POLARIS,EQ,147.9,148.9,146.1,146.9,147.25,145.8,519811,76459406.45,25-OCT-2003,
POLYPLEX,EQ,136,142.7,135.9,140.5,140,133.05,186389,26128186.95,25-OCT-2003,
PRAJIND,EQ,68,69,67,67.35,67,66.05,2850,192307.75,25-OCT-2003,
PRAKASH,BE,8.9,8.9,8.9,8.9,8.9,9.05,800,7120,25-OCT-2003,
PRECWIRE,EQ,40.5,41,37.65,38.65,39.45,38.5,1191,46896.3,25-OCT-2003,
PREMINSTR,EQ,280,288.5,275,288.5,288.5,281.3,129,36312.5,25-OCT-2003,
PRIMESEC,BE,2.3,2.3,2.3,2.3,2.3,2.2,1500,3450,25-OCT-2003,
PRISMCEM,EQ,9.05,9.3,8.8,9.1,9.25,8.6,192872,1749939.7,25-OCT-2003,
PSIDATASYS,EQ,63.3,65.15,63.3,64.4,63.7,64.2,1720,110788.5,25-OCT-2003,
PSL,EQ,69.9,71,66.2,68.75,69.15,64.7,30865,2103470.8,25-OCT-2003,
PUNJABTRAC,EQ,202,202,195.5,197.05,197,191.75,4927,970640.15,25-OCT-2003,
RADAAN,EQ,52.85,53.9,52.85,53.35,53,53.55,1303,69266.45,25-OCT-2003,
RADICO,EQ,39.85,42.8,38.5,41.4,42.8,39.3,5606,230758.1,25-OCT-2003,
RAINCALCIN,EQ,19.35,20.5,18.85,20.1,20.45,18.7,397534,7907204.1,25-OCT-2003,
RAJASSPG,EQ,27.7,27.7,27.7,27.7,27.7,25.75,75,2077.5,25-OCT-2003,
RAJSREESUG,EQ,20,20.5,19.15,20.3,20.3,19.5,9400,190921.9,25-OCT-2003,
RALLIS,EQ,86.7,86.7,82.65,83.7,82.65,82.05,1409,118281.5,25-OCT-2003,
RAMANEWSPR,EQ,8.1,8.2,7.95,8,8.05,7.9,107711,868411.05,25-OCT-2003,
RAMCOIND,EQ,225,225,225,225,225,210,10,2250,25-OCT-2003,
RAMCOSYS,EQ,250,259,250,257.1,259,246.55,16273,4159451.3,25-OCT-2003,
RANBAXY,EQ,975,979,966,972.95,973.5,962.95,140995,137009360.05,25-OCT-2003,
RANEBRAKE,EQ,319.9,319.9,299.7,305.05,305.9,295.55,8013,2474163.45,25-OCT-2003,
RANEMADRAS,EQ,100,102,97,100.75,101.5,96.8,1477,147660.5,25-OCT-2003,
RAYMOND,EQ,146.4,150.7,145,148.9,148.9,144.1,65143,9645672.4,25-OCT-2003,
RCF,EQ,30,30,28.1,29.05,29.25,28.5,129059,3730096.55,25-OCT-2003,
REGENCERAM,EQ,31.65,32,31.25,31.7,31.65,31.5,5579,177924.05,25-OCT-2003,
RELCAPITAL,EQ,76.95,77.5,76.6,77.2,77.45,76.05,234407,18056836.5,25-OCT-2003,
RELIANCE,EQ,479.45,480,474.05,475.4,474.85,470.65,1460756,695705635.8,25-OCT-2003,
REMSONSIND,EQ,21.55,21.55,21.15,21.15,21.15,22.25,7,150.05,25-OCT-2003,
REVL,EQ,348.95,348.95,340,340,340,334.6,222,76972.95,25-OCT-2003,
RICOAUTO,EQ,264.95,264.95,250,250.55,251,260.35,1005,256300.55,25-OCT-2003,
RIIL,EQ,50,50,48.75,49.55,49.85,48.7,2279,112652.15,25-OCT-2003,
ROLTA,EQ,69.85,72,69.4,71.7,71.65,68.45,435211,30948960.4,25-OCT-2003,
RPGTELECOM,BE,10,10,10,10,10,10.05,200,2000,25-OCT-2003,
RSSOFTWARE,EQ,20.1,21.8,20.1,21.35,21.5,21.35,4720,100961.5,25-OCT-2003,
RUCHISOYA,EQ,47.5,49.95,47.5,47.65,47.55,47.8,1823,87498.65,25-OCT-2003,
SABERORGAN,EQ,14.75,14.75,14.5,14.6,14.55,14.55,5634,82261.55,25-OCT-2003,
SAIL,EQ,43.9,44.45,43.65,44.1,44.25,43.25,17766530,782598971.6,25-OCT-2003,
SAKHTISUG,EQ,23.4,23.4,21.75,22.75,22.75,22.35,13688,310875.1,25-OCT-2003,
SALORAINTL,EQ,52,52.25,51.3,51.7,51.9,51.3,3350,173720,25-OCT-2003,
SAMTEL,EQ,27.3,27.7,27,27.15,27,27.1,7924,215552.1,25-OCT-2003,
SANDESH,EQ,111,112.45,109.1,110.95,110.55,110,275,30564.5,25-OCT-2003,
SANGAMIND,EQ,24,24.8,24,24.8,24.8,24.05,254,6188,25-OCT-2003,
SAREGAMA,EQ,46,47.3,46,46.95,47.3,45.7,1466,68581.45,25-OCT-2003,
SATNAMOVER,EQ,44,47,43.4,43.6,43.8,43.25,1861,82654,25-OCT-2003,
SATYAMCOMP,EQ,303,305,300.85,301.9,301.6,296.55,4172875,1262332882.2,25-OCT-2003,
SAVITACHEM,EQ,80.95,81.35,80,80.05,80,80.6,4510,363338.5,25-OCT-2003,
SAWPIPES,EQ,219.4,221,217.25,219.6,220.5,217.25,94733,20734862.45,25-OCT-2003,
SB&TINTL,EQ,29,29.5,28.8,29.25,29.4,28.5,3371,98231.9,25-OCT-2003,
SBIHOMEFIN,EQ,16.6,17,16.55,16.7,16.85,16.1,14868,248382.9,25-OCT-2003,
SBIN,EQ,500,504,495.5,498.35,497.6,491.9,1608676,801873352.7,25-OCT-2003,
SCI,EQ,116.35,135,115.05,115.65,115.7,114.5,215698,25004038.35,25-OCT-2003,
SEAMECLTD,EQ,39.5,40,38,39.3,39.4,37.75,23948,936311.7,25-OCT-2003,
SEARCHEMIN,EQ,29,29,29,29,29,28.35,300,8700,25-OCT-2003,
SEARLEIND,EQ,30.25,31.25,29.6,30.7,30.9,29.75,2703,82461,25-OCT-2003,
SESAGOA,EQ,284,289.9,281,284.65,285,279.75,33025,9399935.8,25-OCT-2003,
SESHAPAPER,EQ,81.4,86,80.2,83.8,84,80.2,15960,1324145.25,25-OCT-2003,
SHANTIGEAR,EQ,145,148.25,145,147.1,146.25,148.45,500,73430.25,25-OCT-2003,
SHASUNCHEM,EQ,329,330,322.15,325.8,327,323.35,5138,1680359.55,25-OCT-2003,
SHREECEM,EQ,90,90,87.1,88.05,88.85,85.65,5927,522253.55,25-OCT-2003,
SHREERAMA,BE,6.05,6.05,6,6,6,6,67000,402025,25-OCT-2003,
SHRENUJ,EQ,33.85,33.85,32,32.2,32.6,30.8,1749,56504.1,25-OCT-2003,
SHRMHONDA,EQ,114,114,110.05,110.1,110.2,116,970,107450,25-OCT-2003,
SHYAMTELE,EQ,54,54.6,52.65,54.1,54.6,52.9,54485,2935619.25,25-OCT-2003,
SIEMENS,EQ,535,550,535,545.15,548.95,530,14433,7840298.95,25-OCT-2003,
SINTEX,EQ,69,72.8,69,72.55,72.5,69.65,4875,351865.5,25-OCT-2003,
SIRPAPER,EQ,62.8,63,62.05,62.8,62.95,60,3600,226545,25-OCT-2003,
SKFBEARING,EQ,84,85.6,83.1,84.7,84.75,82.1,161390,13618524.85,25-OCT-2003,
SKUMARSYNF,BE,4.05,4.05,4.05,4.05,4.05,4.1,400,1620,25-OCT-2003,
SNOWCEMIND,EQ,16.7,16.7,15.85,16.1,16,16,4851,78026,25-OCT-2003,
SOFFIASOFT,EQ,29.6,30.75,29.6,30,29.95,29.4,10438,313015.7,25-OCT-2003,
SOFTSOLINT,BE,133,135,131,132.2,131.8,131.4,6879,913974.5,25-OCT-2003,
SOLECTCENT,EQ,85,85.75,79.25,81.9,81.05,82.7,1170,95039.75,25-OCT-2003,
SOMATEX,BE,9.15,9.9,9.15,9.75,9.85,9.65,1200,11685,25-OCT-2003,
SONATSOFTW,EQ,12,12.55,12,12.35,12.45,12.25,32904,406683.2,25-OCT-2003,
SOUTHBANK,EQ,57.9,57.9,56.5,57.1,57.15,56.4,23120,1318677.5,25-OCT-2003,
SPIC,EQ,8.9,8.9,7.35,8.05,8.05,8.05,9577,77403.4,25-OCT-2003,
SQRDSFWARE,EQ,6.05,6.95,6.05,6.9,6.9,6.35,18900,128175.25,25-OCT-2003,
SREINTFIN,BE,9.9,10,9.9,10,10,9.5,500,4990,25-OCT-2003,
SRF,EQ,31,32.25,30.75,31.45,31.15,31.05,24802,781240.4,25-OCT-2003,
SRGINFOTEC,BE,0.6,0.75,0.6,0.7,0.7,0.7,18600,13475,25-OCT-2003,
SRIADIKARI,EQ,60.5,61.5,59.6,60.05,60.1,58.95,17407,1047948.2,25-OCT-2003,
SRTRANSFIN,EQ,15.75,16,15.75,15.95,16,15.6,3942,62841.7,25-OCT-2003,
STAR,EQ,144.9,145,135.55,140.25,140.9,140.7,3229,455060.2,25-OCT-2003,
STCINDIA,EQ,130,130,127.05,128.5,128.5,129.2,550,70980,25-OCT-2003,
STDIND,EQ,5.6,5.7,5.3,5.6,5.6,5.5,3250,18235,25-OCT-2003,
