SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,
SHRENUJ,EQ,34.1,38.2,34.1,36.2,36,36.1,2553,93781.3,25-JUN-2006,
SHREYAS,EQ,199.1,205,199.1,203.1,203.5,202.85,401,81194.5,25-JUN-2006,
SHRINGAR,EQ,43,45.2,42.5,43.95,44,42.9,22301,980643.5,25-JUN-2006,
SHRIRAMCIT,EQ,95,112,95,102.6,102.25,110.15,275,28211.25,25-JUN-2006,
SHYAMTELE,EQ,67.4,69,66.6,68.75,69,65.7,90464,6167139.1,25-JUN-2006,
SICAL,EQ,260,264,254,259.1,261,255,5231,1351136.15,25-JUN-2006,
SIEMENS,EQ,924,931,902,910.55,903.15,915,47770,43637127.75,25-JUN-2006,
SIL,EQ,22.4,22.4,21.3,21.85,21.5,21.3,6586,144282.6,25-JUN-2006,
SIMPLEXINF,EQ,1478,1478,1370,1409.1,1370,1420.3,447,633332.9,25-JUN-2006,
SINTEX,EQ,155.15,158,154.25,155.65,158,155.8,902,140030.45,25-JUN-2006,
SIRPAPER,EQ,76.5,76.5,73.5,75.5,76.2,76.1,766,58024.2,25-JUN-2006,
SKFINDIA,EQ,298.9,298.9,288.1,293.85,294,293.25,650,191369.6,25-JUN-2006,
SKMEGGPROD,EQ,20.7,20.7,20,20.4,20,20.3,2065,42326.25,25-JUN-2006,
SKUMARSYNF,EQ,48,50,47.9,49.4,49.2,47.9,223390,10998317.8,25-JUN-2006,
SOFTPRO,EQ,38.9,40.85,38.9,40.2,40,39.15,6425,258491.2,25-JUN-2006,
SOFTSOLINT,EQ,142.8,145.2,141.85,145,143.15,138.25,6703,968839.8,25-JUN-2006,
SOFTTECHGR,EQ,8.05,8.05,8.05,8.05,8.05,7.65,130,1046.5,25-JUN-2006,
SOLAREX,EQ,177,188,177,182.7,181.5,181.7,1707,311359.3,25-JUN-2006,
SOLECTCENT,EQ,158.6,158.6,155,156.85,156,153.1,8355,1308332.3,25-JUN-2006,
SOMATEX,EQ,33.85,36.5,32.1,32.6,32.95,32.05,8698,286239.1,25-JUN-2006,
SONASTEER,EQ,85.5,85.5,83.25,84.05,83.25,83.9,9869,829863,25-JUN-2006,
SONATSOFTW,EQ,23.4,23.4,22.5,23.05,23.15,22.9,34395,791925.5,25-JUN-2006,
SOUTHBANK,EQ,56.3,56.85,56,56.3,56.7,56.25,18918,1065790.5,25-JUN-2006,
SPIC,EQ,22,22.1,21.2,21.5,21.45,21.7,61355,1321948.2,25-JUN-2006,
SPLIL,EQ,46,47.8,46,46.05,46,44.7,2732,126236.5,25-JUN-2006,
SREINTFIN,EQ,44.9,45.85,44.65,45.1,45.2,44.75,209370,9459416.2,25-JUN-2006,
SRF,EQ,216.8,218,209,212.8,209.6,214.5,504846,108394206.95,25-JUN-2006,
SRGINFOTEC,EQ,0.7,0.75,0.7,0.75,0.7,0.7,6700,5015,25-JUN-2006,
SRIADIKARI,EQ,13.8,15,13.8,14.8,14.9,14.5,8457,124964.55,25-JUN-2006,
SRTRANSFIN,EQ,95.1,100,95.1,98.85,99.75,99.35,2111,208130.75,25-JUN-2006,
SSWL,EQ,105.8,105.8,105.8,105.8,105.8,100.75,1020,107916,25-JUN-2006,
STAR,EQ,305,305,287.05,291.15,290,297.15,1085,318642.35,25-JUN-2006,
STARPAPER,EQ,42.05,44,42.05,43.3,43.5,42.75,2480,106707.55,25-JUN-2006,
STCINDIA,EQ,131,132,130,130.45,130.25,130.45,927,121062.9,25-JUN-2006,
STER,EQ,396,409,396,406,403.75,394.75,764377,309482812.65,25-JUN-2006,
STERLINBIO,EQ,106,108,105.2,105.7,106,103.45,2666,282275.2,25-JUN-2006,
STINDIA,EQ,10.4,10.4,10.4,10.4,10.4,9.95,100,1040,25-JUN-2006,
STROPTICAL,EQ,119.4,119.9,117.35,118.8,118.1,117.75,64964,7722357.8,25-JUN-2006,
SUBEX,EQ,444,454.8,437,447.25,446.5,434.5,3207,1436477.55,25-JUN-2006,
SUBHASPROJ,EQ,147,147,143,144.2,143.55,147.65,6173,892791.7,25-JUN-2006,
SUBROS,EQ,190,201,190,199.55,198,195.6,611,121246,25-JUN-2006,
SUNDARMFIN,EQ,375,375,356.9,366.25,365.4,360.85,261,95694,25-JUN-2006,
SUNDRMBRAK,EQ,414.85,414.85,407.95,410.4,412.85,380.75,3,1235.65,25-JUN-2006,
SUNDRMCLAY,EQ,900,955,900,938,938,915.05,211,190335,25-JUN-2006,
SUNDRMFAST,EQ,119.95,121.7,119.95,121.25,120.8,120.05,593,71860.95,25-JUN-2006,
SUNFLAG,EQ,15.5,15.5,14.75,15,15,14.8,168500,2535324.5,25-JUN-2006,
SUNILHITEC,EQ,117.95,118,115.1,115.85,117,113.65,8131,944549.35,25-JUN-2006,
SUNPHARMA,EQ,758.8,758.8,741.5,747,749,748.2,3529,2641775.2,25-JUN-2006,
SUNTV,EQ,980,990,960,975.9,969,976.6,2217,2172443.15,25-JUN-2006,
SUPERSPIN,EQ,379,393.7,374.25,388.15,390.9,378.5,632,244882.9,25-JUN-2006,
SUPPETRO,EQ,21.65,21.65,20.35,20.65,20.9,20.85,2411,50041.8,25-JUN-2006,
SUPRAJIT,EQ,211.7,219,211.7,211.95,219,217.5,31,6570,25-JUN-2006,
SUPREMEIND,EQ,327,327,327,327,327,329.7,600,196200,25-JUN-2006,
SURAJDIAMN,EQ,52.95,53.9,52,53.2,52.8,51.7,22800,1213791.7,25-JUN-2006,
SURANATELE,EQ,27.2,27.2,26.3,26.95,27,26.65,7010,188690.6,25-JUN-2006,
