SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,
JINDVIJSTL,EQ,11.15,12.8,10.95,12.5,12.55,12.15,16399488,197601874.2,15-NOV-2003,
JISLJALEQS,EQ,74,78.9,72.6,78.55,78.8,76.6,1928,151197.45,15-NOV-2003,
JPIND,EQ,100,104.9,99.55,103.7,104.65,100.6,1720868,176831556.55,15-NOV-2003,
JUBILANT,EQ,427.5,457,427.5,449.5,450,443.05,6754,3042289.5,15-NOV-2003,
JUNIORBEES,EQ,271.75,271.75,271.75,271.75,271.75,273.5,15,4076.25,15-NOV-2003,
JYOTISTRUC,EQ,74.5,78,74.5,77.55,78,75.1,24510,1894844.75,15-NOV-2003,
KABRAEXTRU,EQ,136.5,136.5,130,131.3,132.95,131.1,3531,466323.85,15-NOV-2003,
KAJARIACER,EQ,50.9,52.5,50.9,52.3,52,51,3821,199432.4,15-NOV-2003,
KAKATCEM,EQ,41.8,42.9,39,41.85,42.9,40.75,10408,426848.1,15-NOV-2003,
KALECONSUL,EQ,40.9,42.25,40,41.4,42,40.4,34396,1412824.85,15-NOV-2003,
KALPATPOWR,EQ,56.25,64.9,56.1,61.45,63.5,59.55,623,37065.75,15-NOV-2003,
KALYANBRAK,EQ,405,419.7,405,419.7,419.7,405,211,86362.15,15-NOV-2003,
KANORICHEM,EQ,59.9,59.9,57.75,58.15,58,56.2,2903,169250.45,15-NOV-2003,
KARURVYSYA,EQ,302,311.95,302,309,309.5,307.35,14803,4575077.25,15-NOV-2003,
KCP,EQ,21,22.4,21,22.4,22.4,21.6,1350,29966.25,15-NOV-2003,
KCPSUGIND,EQ,27,30.6,27,28.25,30,29,26,723.05,15-NOV-2003,
KECINTL,EQ,46,51.75,44.2,49.45,51.5,45.15,808298,38945796.65,15-NOV-2003,
KESORAMIND,EQ,60,63.8,58.75,62.8,63.3,59.7,92323,5676283.65,15-NOV-2003,
KHAITANELE,BE,9.9,10,9.9,10,10,9.1,300,2980,15-NOV-2003,
KIRLOSKCUM,EQ,105,105.75,103.25,103.75,104.5,104.7,4543,473335.2,15-NOV-2003,
KIRLOSOIL,EQ,271,287.8,271,286.9,287.8,274.15,5816,1656287.6,15-NOV-2003,
KITPLYIND,BE,4.7,4.8,4.65,4.7,4.8,4.75,5299,24895.2,15-NOV-2003,
KLGSYSTEL,EQ,31.1,31.25,30.55,31,31.25,31.4,1880,58032.75,15-NOV-2003,
KOPDRUGS,EQ,17,17,15.55,16.8,16.85,17.15,6120,97713,15-NOV-2003,
KOPRAN,BE,55.5,57.5,55,56.7,56.05,56.2,5887,330701.05,15-NOV-2003,
KOTAKBANK,EQ,342,342,336,337.9,339,341.75,6607,2234406.5,15-NOV-2003,
KOTHARIPRO,EQ,218.05,225,218.05,224.25,225,219.7,938,209824.15,15-NOV-2003,
KPIT,EQ,240.6,240.6,233.15,236.9,239,241.45,32913,7808921.65,15-NOV-2003,
KRBL,EQ,45,47.5,45,46.75,47.5,45.45,16942,775072.7,15-NOV-2003,
KRISHNAENG,BE,1.8,1.8,1.8,1.8,1.8,1.55,500,900,15-NOV-2003,
KSBPUMPS,EQ,101,104,94.4,97.2,97.5,94.7,1012,99177.1,15-NOV-2003,
KTKBANK,EQ,84,84.7,75.15,83.95,84.7,83.2,37778,3152648.2,15-NOV-2003,
L&T,EQ,393.9,399.5,385,396.2,398.25,391.45,195788,77047314.4,15-NOV-2003,
LAKME,EQ,251.9,252,241,245.2,245,245.45,2582,635150.7,15-NOV-2003,
LAKSHAUTO,EQ,126.9,126.9,115,118.35,119.9,116.35,430,51584,15-NOV-2003,
LAKSHVILAS,EQ,92.2,94.25,92.2,94.1,94,93.35,5227,490865.85,15-NOV-2003,
