SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,
SOFTTECHGR,EQ,11.4,11.4,10.8,11,11,11.45,1151,12936,22-MAR-2003,
SOMATEX,EQ,4.1,4.1,4.1,4.1,4.1,3.65,200,820,22-MAR-2003,
SONATSOFTW,EQ,14,14.45,14,14.3,14.4,13.7,99775,1416603.25,22-MAR-2003,
SOUTHBANK,EQ,36.5,36.95,36.4,36.7,36.9,36.4,16635,609400.25,22-MAR-2003,
SPIC,EQ,4.8,4.95,4.75,4.8,4.85,4.85,9214,44588.95,22-MAR-2003,
SPICFINE,EQ,17.75,17.9,17.25,17.45,17.5,17.5,9507,166944.75,22-MAR-2003,
SPLLTD,EQ,21,21,21,21,21,22.5,100,2100,22-MAR-2003,
SQRDSFWARE,EQ,8.4,9.85,8.4,9.6,9.8,9.2,111648,1061589.1,22-MAR-2003,
SREINTFIN,EQ,8.4,8.4,8.4,8.4,8.4,8,250,2100,22-MAR-2003,
SRF,EQ,21.55,21.9,21.55,21.7,21.6,21.7,2954,64142.9,22-MAR-2003,
SRGINFOTEC,EQ,0.65,0.7,0.6,0.65,0.7,0.6,91564,59816.65,22-MAR-2003,
SRIADIKARI,EQ,55.95,56.5,55.05,55.8,56,54.8,19513,1088097.25,22-MAR-2003,
SRTRANSFIN,EQ,14.4,14.4,14,14.05,14.05,13.85,5899,83051,22-MAR-2003,
STDIND,EQ,3.9,4,3.9,3.95,3.9,4,1650,6513,22-MAR-2003,
STEELTUBES,EQ,1.2,1.2,1.1,1.15,1.2,1.05,600,715,22-MAR-2003,
STERLINTEA,EQ,40,40,38,38.55,38.2,39.05,144047,5570686.85,22-MAR-2003,
STROPTICAL,EQ,37.8,38,37.5,37.7,38,37.2,76041,2869289.85,22-MAR-2003,
SUNDARMFIN,EQ,108.25,108.25,107.1,107.1,107.1,107.25,3890,420989,22-MAR-2003,
SUNDRMBRAK,EQ,169,169,169,169,169,169,25,4225,22-MAR-2003,
SUNDRMCLAY,EQ,193,193,191,191.05,191,190.05,390,74806,22-MAR-2003,
SUNDRMFAST,EQ,332.25,332.3,332.25,332.25,332.25,329.15,985,327266.75,22-MAR-2003,
SUNPHARMA,EQ,272.25,275,270.3,272.75,273,275.05,12114,3298079.55,22-MAR-2003,
SUNPHARMA,P1,2.4,2.4,2.4,2.4,2.4,2.45,100,240,22-MAR-2003,
SUPPETRO,EQ,7.8,7.8,7.55,7.75,7.75,7.8,6075,47091.25,22-MAR-2003,
SUPREMEIND,EQ,82.5,85,82,84.5,84.9,82.95,1110,94068.45,22-MAR-2003,
SURAJDIAMN,EQ,10.4,10.85,10.4,10.6,10.85,10.45,3764,39781.1,22-MAR-2003,
SURANATELE,EQ,13.5,14,13.2,13.45,13.45,13.65,32661,441143.55,22-MAR-2003,
SURYAROSNI,EQ,12,12.45,12,12,12,11.6,1370,16440.7,22-MAR-2003,
SUTLEJINDS,EQ,38.1,42.1,38.1,42.1,42.1,38.25,50000,2005000,22-MAR-2003,
SWARAJENG,EQ,180.55,180.55,180.5,180.5,180.5,181.05,16,2888.4,22-MAR-2003,
SWARAJMAZD,EQ,76,76,68.15,68.2,68.2,69.55,1350,92985.6,22-MAR-2003,
SYNDIBANK,EQ,16.15,16.5,16,16.25,16.3,15.85,143932,2339888.05,22-MAR-2003,
TAJGVK,EQ,39.1,40.95,39.1,40.15,39.45,39.85,107,4298.05,22-MAR-2003,
TATACHEM,EQ,63.5,63.8,62.8,63.55,63.65,62.75,108967,6918953.8,22-MAR-2003,
TATAELXSI,EQ,74,74.9,73.25,74.45,74.5,73.05,80755,5987469.25,22-MAR-2003,
TATAFIN,EQ,15.9,16,15.7,15.9,16,15.8,8165,129575.2,22-MAR-2003,
TATAHONEY,EQ,249,258,249,256.95,258,246.05,509,130404.75,22-MAR-2003,
TATAMETALI,EQ,25,28,23.2,27.7,28,27.65,3065,82579,22-MAR-2003,
TATAPOWER,EQ,117,117.85,116.75,117.45,117.85,116.4,55819,6541748.3,22-MAR-2003,
TATAPRESS,EQ,71.9,72,69.9,71.3,71.8,69,3450,244802.5,22-MAR-2003,
TATATEA,EQ,180,180,177.05,177.7,177.05,178.65,14244,2534102.1,22-MAR-2003,
TATATELECM,EQ,101.3,106.5,101.3,104.65,105,100.7,10581,1097333.45,22-MAR-2003,
TATAUNISYS,EQ,174.5,176.9,172.5,173.85,174.5,173.5,22734,3970830.15,22-MAR-2003,
TATAVASHIS,EQ,10.7,10.75,10.3,10.5,10.45,10.55,23480,246374.45,22-MAR-2003,
TCI,EQ,19.15,21.85,19.15,21.8,21.8,20,8,169.25,22-MAR-2003,
TELCO,EQ,161.5,163.4,161.5,162.75,163,160.95,279959,45540046.55,22-MAR-2003,
TELCO,W1,54.9,55.35,53.75,54.45,55,54,10921,597176.25,22-MAR-2003,
TFCILTD,EQ,8,8,7.95,7.95,7.95,7.95,1730,13803.5,22-MAR-2003,
THERMAX,EQ,148.5,151.45,148.5,149.4,149.5,149.95,1308,195187.8,22-MAR-2003,
THIRUSUGAR,EQ,15.6,18.75,15.6,18.75,18.75,17.1,3100,53325,22-MAR-2003,
THOMASCOOK,EQ,211.05,212.75,210.5,210.75,211.5,211.6,3622,766546.3,22-MAR-2003,
TIL,EQ,10.1,10.1,10.1,10.1,10.1,10.3,100,1010,22-MAR-2003,
TIPSINDLTD,EQ,35.3,36.2,35,35.4,35.9,35.25,13038,463228.25,22-MAR-2003,
TISCO,EQ,142.3,144.25,141.9,143.65,144.2,140.95,1703660,243658735.25,22-MAR-2003,
TITAN,EQ,56.4,57.45,55.8,57.3,57.45,55.7,10790,613984.95,22-MAR-2003,
TITANOCOMP,EQ,13.45,14.5,13.45,14.5,14.5,15,201,2894.45,22-MAR-2003,
TNPETRO,EQ,21,21,19.55,19.8,19.95,19.95,17780,354182.55,22-MAR-2003,
TNPL,EQ,38.5,39,38.5,38.75,39,38.4,33452,1294983.5,22-MAR-2003,
TNTELE,EQ,9,9,8.55,8.95,9,8.75,1010,8824.7,22-MAR-2003,
TODAYS,EQ,11.2,13,11.15,12.95,11.2,12.1,5100,63392.5,22-MAR-2003,
TORNTPHARM,EQ,171,172,170.7,171.5,171.45,172.25,45325,7760051.5,22-MAR-2003,
TRAFALHSE,EQ,199,199,199,199,199,195.15,1,199,22-MAR-2003,
TTKPRESTIG,EQ,7.2,7.5,6.1,7.05,7.05,7.3,4625,33205.75,22-MAR-2003,
TUBEINVEST,EQ,89.05,89.15,89.05,89.1,89.1,89,110,9800,22-MAR-2003,
TV18,EQ,58.3,60,58.25,59.65,60,57.5,52498,3101729.75,22-MAR-2003,
TVSELEC,EQ,61,64.6,61,63.4,64.6,58.95,71895,4499569.95,22-MAR-2003,
TVSMOTOR,EQ,479.95,479.95,472,474.6,478.5,475.85,2001,950273.6,22-MAR-2003,
UCALFUEL,EQ,145.05,159.9,145,157.1,157,158.75,1050,162567,22-MAR-2003,
UNICHEMLAB,EQ,147,152,147,148.45,148.5,147.05,2786,416562,22-MAR-2003,
UNIONBANK,EQ,25.55,25.65,25.2,25.3,25.4,25.2,777341,19743429.15,22-MAR-2003,
UNIONCARBI,EQ,11.5,11.6,11.25,11.5,11.6,11.4,5969,68280.45,22-MAR-2003,
UNITECH,EQ,45,45,42.2,44.25,44,43,200,8785,22-MAR-2003,
UNITEDPHOS,EQ,133.9,138,133.9,136.45,138,132.85,110325,14969778.1,22-MAR-2003,
UNIWESTBNK,EQ,20.75,20.85,20.7,20.8,20.75,20.8,1375,28578.75,22-MAR-2003,
UPERGANGES,EQ,9.75,11.6,9.75,10.2,10.95,11,10750,121435,22-MAR-2003,
USHABEL,EQ,24.7,24.9,24.5,24.7,24.9,24.9,1397,34455.25,22-MAR-2003,
UTIBANK,EQ,43.2,43.2,40.65,41,41,40.65,13420,549007.1,22-MAR-2003,
UTIUS64I10,EQ,10.2,10.2,10.2,10.2,10.2,10.2,17900,182580,22-MAR-2003,
UTIUS64I12,EQ,12.1,12.25,12.1,12.25,12.25,12.15,17436,212997.4,22-MAR-2003,
UTTAMSTL,EQ,6.95,7.05,6.95,7,7,6.85,8542,59657.6,22-MAR-2003,
VAMORGANIC,EQ,151,151,149.1,150.35,149.1,150.2,1238,186163.2,22-MAR-2003,
VARDHMNSPG,EQ,50,50.5,49.4,49.75,49.4,50,1025,51273.75,22-MAR-2003,
VARDMNPOLY,EQ,42.05,42.1,42,42.05,42,41.65,1100,46275,22-MAR-2003,
VARUNSHIP,EQ,9.4,9.55,9.3,9.5,9.5,9.3,13424,127353,22-MAR-2003,
VDOCONAPPL,EQ,8,8.6,7.85,7.95,8,7.8,9953,79606.95,22-MAR-2003,
VDOCONINTL,EQ,23.25,23.7,23.25,23.35,23.4,23.2,26238,613692.8,22-MAR-2003,
