SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
BGRENERGY,EQ,279,283.9,273.25,274.5,274.85,276.45,467923,130272968.7,28-SEP-2012,7440,INE661I01014,
BHAGWATIHO,EQ,72,72.35,69.8,70.6,71.15,72.1,14883,1059792.65,28-SEP-2012,664,INE797H01018,
BHAGYNAGAR,EQ,14.1,14.25,13.5,14.2,14.2,14,5714,80764.45,28-SEP-2012,40,INE458B01028,
BHARATFORG,EQ,303.45,308.75,301.3,305.55,306,300.1,554271,169060734.75,28-SEP-2012,9179,INE465A01025,
BHARATFORG,W2,41.75,41.75,41.75,41.75,41.75,34.8,50000,2087500,28-SEP-2012,1,INE465A13020,
BHARATGEAR,EQ,67,69.4,66,68.6,68.05,67,7237,491781.9,28-SEP-2012,222,INE561C01019,
BHARATRAS,EQ,140,149.95,140,149,149,142.5,212,30720.95,28-SEP-2012,9,INE838B01013,
BHARTIARTL,EQ,264.85,267,262.2,265.45,265.7,261.4,5210906,1381162109,28-SEP-2012,59258,INE397D01024,
BHARTISHIP,EQ,71,71.9,70.35,70.75,70.55,70.05,173780,12363851.95,28-SEP-2012,2093,INE673G01013,
BHEL,EQ,250,252.45,244.5,246.95,246.6,248.1,3813783,948498598.95,28-SEP-2012,46505,INE257A01026,
BHUSANSTL,EQ,492.6,501.95,488,498.8,496.6,492.1,139484,69056464.25,28-SEP-2012,3788,INE824B01021,
BIL,EQ,51.9,53.4,50.5,52.45,53,51.3,31854,1652470.25,28-SEP-2012,321,INE828A01016,
BILENERGY,EQ,48.45,48.45,45.25,45.4,45.25,47.6,1958,89252.65,28-SEP-2012,24,INE607L01011,
BILPOWER,EQ,43.95,45,43,43.25,43.05,43.2,263790,11636077.75,28-SEP-2012,636,INE952D01018,
BIMETAL,EQ,267.75,267.95,260.2,263.45,265.8,260.95,109,28677.6,28-SEP-2012,11,INE469A01019,
BINANIIND,EQ,128.65,139.7,128.65,134.2,134.25,126.95,522178,71002740.05,28-SEP-2012,9241,INE071A01013,
BINDALAGRO,EQ,33,33.4,31.6,31.7,31.85,32.75,301251,9738353.45,28-SEP-2012,2077,INE143A01010,
BIOCON,EQ,275.9,278.55,273.05,274.8,275.05,274.75,247265,68143547.6,28-SEP-2012,6494,INE376G01013,
BIRLACORPN,EQ,236,283.2,236,282.45,283.2,236,504115,136665997.25,28-SEP-2012,12394,INE340A01012,
BIRLACOT,BE,0.25,0.25,0.2,0.25,0.2,0.25,270040,62834.1,28-SEP-2012,61,INE655I01024,
