SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,
HIMATSEIDE,EQ,303,308,303,305,305,305,2140,652536,17-APR-2004,
HINDALC0,EQ,1293.1,1300,1284,1290.85,1295,1296.75,9963,12860236.55,17-APR-2004,
HINDCOMPOS,EQ,22.1,22.5,22.1,22.3,22.15,22,400,8885,17-APR-2004,
HINDCONS,EQ,125,125.95,123.25,124.2,124.55,123.9,10688,1333793.8,17-APR-2004,
HINDDORROL,EQ,26,26,26,26,26,27.25,45,1170,17-APR-2004,
HINDLEVCHM,EQ,320.3,320.3,312.2,316.7,316.25,323.05,1067,338952.35,17-APR-2004,
HINDLEVER,EQ,153.4,153.4,149.8,151.95,152.15,151.65,457384,69249286.5,17-APR-2004,
HINDLEVER,N1,6.5,6.5,6.5,6.5,6.5,6.55,2340,15210,17-APR-2004,
HINDMOTOR,EQ,12.4,13.55,12.3,13.3,13.45,12.35,1050180,13789697.35,17-APR-2004,
HINDOILEXP,EQ,39.95,43.5,39.85,42.85,43.5,39.8,269022,11337981.5,17-APR-2004,
HINDPETRO,EQ,512,516.45,510,511.65,512,510.6,273622,140394120.3,17-APR-2004,
HINDSANIT,EQ,125,130.7,125,130.7,130.7,124.45,7205,937669.25,17-APR-2004,
HINDSYNTEX,EQ,6.5,6.55,6.2,6.25,6.3,6.5,4201,26661.5,17-APR-2004,
HITECHGEAR,EQ,143.3,143.3,143.3,143.3,143.3,145,50,7165,17-APR-2004,
HMT,EQ,21,21.45,20.05,21.15,21.45,20.2,27142,569921.4,17-APR-2004,
HOCL,EQ,21.25,21.9,20.65,21.4,21.5,20.7,152002,3266122.4,17-APR-2004,
HOTELEELA,EQ,59.2,62.3,58.2,61.4,61.6,58.9,274094,16681396.55,17-APR-2004,
HTMT,EQ,236,236.3,231.5,233.15,234.5,235.4,36309,8476303.35,17-APR-2004,
HUGHESSOFT,EQ,510,510,500,506.75,507.1,507.3,29098,14733497.7,17-APR-2004,
I-FLEX,EQ,605,605,600.05,602.2,600.05,603.95,9198,5542142.25,17-APR-2004,
IBP,EQ,675,680,659,660.3,660.5,676.7,13177,8730810.85,17-APR-2004,
ICI,EQ,185.85,185.85,181.75,183.4,182.7,182.55,599,110586.75,17-APR-2004,
ICICIBANK,EQ,289.95,294,288.1,291.95,292.45,287.65,561501,163992089.65,17-APR-2004,
IDBI,EQ,69.4,72.6,69,71.4,72,68.85,818551,57997801.8,17-APR-2004,
IDBIBANK,EQ,54.85,55.6,54.2,55.1,55.25,54.45,124649,6845860.1,17-APR-2004,
IFBAGRO,EQ,8.25,8.8,8.25,8.6,8.6,8.45,1318,11305.9,17-APR-2004,
IFBIND,EQ,3.5,3.75,3.4,3.4,3.4,3.75,5151,17940.5,17-APR-2004,
IFCI,EQ,11.2,12.2,11.1,12,12.1,11.05,5857033,68799177.7,17-APR-2004,
IFGLREFRAC,EQ,16.65,17.3,16.65,17.25,17.3,16.95,585,10097.75,17-APR-2004,
IGFLFERT,EQ,121,122,119.4,120.8,120.9,120.6,29626,3581115.8,17-APR-2004,
IGL,EQ,85.2,92.35,83.35,91.55,91.8,84.55,1985786,178457495.6,17-APR-2004,
IGS,EQ,223.6,225.25,222,224.05,224.95,223.25,5970,1338043.7,17-APR-2004,
INDHOTEL,EQ,408.1,419.95,408.1,413.3,412,416.25,800,330623.05,17-APR-2004,
